Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Evan Waters,Central Mich.,MAC,P,Sr.,32.4,154.0,5.11,115.0,7.68,21.3,13.7,2.52
Adam Brouwer,Cincinnati,Big 12,P,Sr.,70.3,322.0,4.61,128.0,10.47,19.6,9.2,2.5
Adam Buczkowski,Cincinnati,Big 12,P,So.,33.0,154.0,4.54,130.0,11.51,22.5,11.0,2.33
Charlie Dieruf,Cincinnati,Big 12,P,So.,24.1,104.0,4.53,130.0,9.96,19.4,9.4,2.36
Brennan Eager,Cincinnati,Big 12,P,So.,54.2,231.0,4.32,136.0,11.93,20.4,8.4,2.6
Hudson Johnson,Cincinnati,Big 12,P,So.,35.1,165.0,4.79,123.0,9.71,19.7,10.0,2.69
Logan Knight,Cincinnati,Big 12,P,Sr.,78.3,355.0,4.63,127.0,10.49,20.3,9.8,2.74
Carson Marsh,Cincinnati,Big 12,P,Jr.,42.9,191.0,4.37,135.0,13.22,23.7,10.5,2.59
Brendin Oliver,Cincinnati,Big 12,P,So.,14.0,72.0,5.27,112.0,10.05,20.7,10.6,3.07
Joel Pinerio,Cincinnati,Big 12,P,Sr.,48.3,227.0,5.68,104.0,8.41,18.2,9.8,3.92
Dillon Schueler,Cincinnati,Big 12,P,Sr.,79.5,364.0,4.75,124.0,8.94,17.9,9.0,2.65
Nathan Taylor,Cincinnati,Big 12,P,Jr.,80.4,353.0,4.47,132.0,11.49,21.7,10.2,2.71
Ben Brash,The Citadel,SoCon,P,Jr.,25.2,132.0,5.27,112.0,5.8,16.3,10.5,2.44
Zane Davis,The Citadel,SoCon,P,Sr.,31.1,152.0,4.56,129.0,8.71,18.5,9.7,2.06
Will Holmes,The Citadel,SoCon,P,Sr.,35.2,155.0,4.06,145.0,10.16,22.9,12.8,1.64
Andrew Stanley,The Citadel,SoCon,P,Jr.,57.3,263.0,4.49,131.0,8.78,18.7,9.9,2.14
CJ Van Slooten,The Citadel,SoCon,P,Sr.,17.8,93.0,4.75,124.0,7.48,18.4,10.9,1.96
Joe Allen,Clemson,ACC,P,Sr.,26.8,120.0,4.7,125.0,11.14,22.8,11.6,2.58
Talan Bell,Clemson,ACC,P,So.,22.2,108.0,4.96,119.0,9.05,20.2,11.1,2.63
Nathan Dvorsky,Clemson,ACC,P,Sr.,25.1,118.0,4.91,120.0,10.16,22.1,11.9,2.78
Chance Fitzgerald,Clemson,ACC,P,Jr.,28.0,132.0,5.22,113.0,9.98,19.6,9.6,3.32
Aidan Knaak,Clemson,ACC,P,Jr.,87.0,368.0,3.99,147.0,16.02,25.2,9.2,2.48
Justin LeGuernic,Clemson,ACC,P,Jr.,24.2,125.0,5.3,111.0,11.08,21.8,10.7,3.2
Jacob McGovern,Clemson,ACC,P,Jr.,26.2,114.0,4.45,132.0,12.73,23.1,10.4,2.68
Michael Sharman,Clemson,ACC,P,Sr.,22.2,98.0,4.38,134.0,10.99,21.5,10.5,2.29
Drew Titsworth,Clemson,ACC,P,Jr.,39.0,172.0,4.74,124.0,11.8,22.3,10.5,2.99
Dominick Carbone,Coastal Carolina,Sun Belt,P,Jr.,39.8,170.0,4.18,141.0,14.02,23.0,9.0,2.48
Scott Doran,Coastal Carolina,Sun Belt,P,So.,17.1,81.0,4.58,128.0,10.63,21.9,11.3,2.29
Cameron Flukey,Coastal Carolina,Sun Belt,P,Jr.,80.7,340.0,3.96,148.0,16.49,25.8,9.3,2.52
Hayden Johnson,Coastal Carolina,Sun Belt,P,Jr.,35.0,161.0,4.72,125.0,12.46,23.7,11.2,2.91
Luke Jones,Coastal Carolina,Sun Belt,P,So.,48.2,213.0,4.83,122.0,8.86,19.3,10.5,2.53
Cullen McKay,Coastal Carolina,Sun Belt,P,Jr.,20.1,97.0,4.51,130.0,11.75,24.7,13.0,2.22
Jacob Morrison,Coastal Carolina,Sun Belt,P,Sr.,85.0,353.0,4.08,144.0,14.56,23.0,8.4,2.61
Justin Bowman,Columbia,Ivy League,P,Jr.,15.0,84.0,5.58,105.0,7.75,20.4,12.6,2.74
Will Harrigan,Columbia,Ivy League,P,Jr.,35.1,179.0,5.22,113.0,6.41,17.7,11.3,2.36
Baylor Hicks,Columbia,Ivy League,P,Jr.,26.8,130.0,5.76,102.0,5.86,17.1,11.3,3.37
Ray Huke,Columbia,Ivy League,P,So.,18.2,101.0,5.29,111.0,6.94,17.9,10.9,2.37
Evan Kleinhans,Columbia,Ivy League,P,Sr.,28.0,143.0,5.32,111.0,8.28,18.6,10.3,2.65
Tomas Lopez,Columbia,Ivy League,P,Jr.,12.1,53.0,4.45,132.0,10.85,21.7,10.9,2.35
Jack McWilliams,Columbia,Ivy League,P,So.,10.2,70.0,5.95,99.0,8.33,19.7,11.4,2.63
Brendan Murphy,Columbia,Ivy League,P,So.,27.2,127.0,4.77,123.0,9.58,19.3,9.7,2.56
Thomas Santana,Columbia,Ivy League,P,Sr.,45.5,209.0,5.29,111.0,9.63,19.8,10.2,3.24
Alex Sotiropoulos,Columbia,Ivy League,P,So.,39.1,180.0,5.22,113.0,8.81,20.1,11.3,3.15
Sean Finn,UConn,Big East,P,Jr.,33.0,141.0,4.14,142.0,13.58,24.3,10.8,2.34
Sam Hutchinson,UConn,Big East,P,Jr.,24.4,109.0,5.02,117.0,7.63,18.7,11.0,2.66
Kyle Peters,UConn,Big East,P,Jr.,13.0,67.0,5.26,112.0,9.54,20.5,11.0,3.0
Oliver Pudvar,UConn,Big East,P,So.,57.6,252.0,4.51,130.0,11.17,21.8,10.7,2.55
Greg Shaw,UConn,Big East,P,Jr.,44.0,201.0,4.67,126.0,9.2,20.2,11.0,2.3
Cayden Suchy,UConn,Big East,P,So.,30.1,143.0,4.64,127.0,9.67,20.4,10.7,2.37
Charlie West,UConn,Big East,P,Jr.,52.1,231.0,4.55,129.0,10.21,22.3,12.1,2.33
Luke Corcoran,Coppin St.,NEC,P,Sr.,52.1,277.0,5.37,109.0,4.98,15.5,10.5,2.27
Jake Cumming,Coppin St.,NEC,P,So.,12.4,69.0,6.0,98.0,6.34,18.6,12.3,3.2
Justin Ritz,Coppin St.,NEC,P,Sr.,38.8,172.0,4.43,133.0,10.52,19.2,8.7,1.88
Brandon Stephens,Coppin St.,NEC,P,Jr.,23.8,130.0,6.07,97.0,2.41,19.4,17.0,2.14
John Hegarty,Cornell,Ivy League,P,So.,21.2,111.0,5.19,113.0,8.89,19.5,10.6,2.76
Huxley Holcombe,Cornell,Ivy League,P,Jr.,50.6,242.0,5.46,108.0,5.36,16.8,11.4,2.85
Nathaniel Jennewein,Cornell,Ivy League,P,Jr.,13.8,71.0,5.53,106.0,6.24,19.4,13.2,2.69
Sam Keene,Cornell,Ivy League,P,So.,24.1,133.0,5.6,105.0,6.21,18.5,12.3,2.54
Noah Keller,Cornell,Ivy League,P,Sr.,33.4,174.0,6.39,92.0,1.54,18.0,16.4,2.82
Gus Magill,Cornell,Ivy League,P,So.,11.1,53.0,4.84,121.0,9.27,20.4,11.2,2.39
Carson Mayfield,Cornell,Ivy League,P,Sr.,48.0,214.0,4.84,121.0,10.24,19.6,9.4,2.83
Josh Shea,Cornell,Ivy League,P,Sr.,12.2,61.0,4.89,120.0,9.58,19.8,10.2,2.69
Shane Curtin,Creighton,Big East,P,Sr.,33.0,158.0,4.95,119.0,7.15,18.5,11.4,2.49
Noah Klein,Creighton,Big East,P,Jr.,25.0,114.0,4.65,126.0,8.94,19.3,10.3,2.12
Ian Koosman,Creighton,Big East,P,Sr.,60.1,261.0,4.33,136.0,11.64,21.3,9.6,2.18
Wilson Magers,Creighton,Big East,P,So.,72.2,314.0,4.84,121.0,7.84,19.0,11.1,2.36
Jack Pineau,Creighton,Big East,P,Jr.,36.5,174.0,4.92,120.0,10.47,20.7,10.3,2.87
Henry Prindl,Creighton,Big East,P,So.,16.0,74.0,5.22,113.0,8.73,19.3,10.6,3.2
Anthony Unga,Creighton,Big East,P,So.,10.1,53.0,5.1,115.0,9.35,20.9,11.5,2.69
Shea Wendt,Creighton,Big East,P,Jr.,26.4,131.0,5.32,111.0,6.84,21.3,14.4,2.5
Eddie Albert,Dartmouth,Ivy League,P,Sr.,37.9,188.0,5.41,109.0,7.59,18.6,11.0,2.92
Nate Isler,Dartmouth,Ivy League,P,Jr.,39.6,198.0,4.9,120.0,9.29,18.2,8.9,2.75
Kyle Klaric-Schell,Dartmouth,Ivy League,P,So.,21.2,106.0,4.91,120.0,9.95,21.5,11.5,2.35
Bryce Loeger,Dartmouth,Ivy League,P,So.,47.2,229.0,4.95,119.0,7.03,17.4,10.4,2.36
Andrew Lombana,Dartmouth,Ivy League,P,So.,23.1,117.0,5.15,114.0,6.31,18.1,11.8,2.31
Trey Sejnoha,Dartmouth,Ivy League,P,Jr.,19.1,113.0,5.63,104.0,6.81,19.3,12.5,2.45
