Name,Player_ID,#,Team,Conference,Bats,Throws,Position,Class,Height,Hometown
Dylan Santos,132818,6,Wm. Paterson,NJAC,RIGHT,RIGHT,INF,Sr.,5-10,"Nutley, NJ"
Evan Soto,132819,19,Wm. Paterson,NJAC,RIGHT,RIGHT,P,Fr.,6-1,"Nutley, NJ"
Leo Spitaleri,132820,8,Wm. Paterson,NJAC,RIGHT,RIGHT,C,So.,5-11,"Hackensack, NJ"
Joe Sutera,132821,14,Wm. Paterson,NJAC,RIGHT,RIGHT,P,Fr.,6-2,"Dumont, NJ"
Jayden Villalta,132822,28,Wm. Paterson,NJAC,RIGHT,RIGHT,P,So.,6-0,"Pompton Lakes, NJ"
Avery Whitney,132823,16,Wm. Paterson,NJAC,RIGHT,RIGHT,UT,Jr.,5-8,"Hillsborough, NJ"
Michael Amendola,132824,7,Williams,NESCAC,LEFT,LEFT,P,Sr.,6-3,"Rumson, NJ"
Lucas Asanovic,132825,15,Williams,NESCAC,RIGHT,RIGHT,INF,So.,5-8,"Easton, CT"
Lucas Brandt,132826,18,Williams,NESCAC,RIGHT,RIGHT,P,So.,5-9,"Cleveland, OH"
Marcus Burrell II,132827,4,Williams,NESCAC,LEFT,LEFT,OF,Jr.,5-7,"Temple Hills, MD"
Quinn Carlesimo,132828,17,Williams,NESCAC,RIGHT,RIGHT,INF,Fr.,6-0,"Montclair, NJ"
Michael Diorio,132829,30,Williams,NESCAC,LEFT,LEFT,P,Fr.,5-11,"Manhasset, NY"
Ellington Fagan,132830,9,Williams,NESCAC,RIGHT,RIGHT,OF,Sr.,6-3,"New York, NY"
Sam Fraiberg,132831,27,Williams,NESCAC,RIGHT,RIGHT,P,Fr.,6-3,"Toronto, Canada"
Issey Gestel,132832,24,Williams,NESCAC,RIGHT,RIGHT,P,Sr.,5-10,"New York, NY"
Grant Greiner,132833,19,Williams,NESCAC,LEFT,RIGHT,P,So.,6-3,"Falls Church, VA"
Hank Jacobus,132834,11,Williams,NESCAC,RIGHT,RIGHT,C,So.,6-3,"Charlotte, NC"
Jake Jeffries,132835,26,Williams,NESCAC,RIGHT,RIGHT,P,Jr.,6-0,"Charlotte, NC"
Matt Keene,132836,20,Williams,NESCAC,RIGHT,RIGHT,P,Jr.,6-4,"Cohasset, MA"
Landon Kim,132837,32,Williams,NESCAC,RIGHT,RIGHT,P,Fr.,6-2,"Los Altos Hills, CA"
Jared Lessing,132838,28,Williams,NESCAC,RIGHT,RIGHT,P,Fr.,5-10,"Westport, CT"
Anthony Lods,132839,8,Williams,NESCAC,RIGHT,RIGHT,C,Sr.,5-11,"Rockville Centre, NY"
Luca Lopetrone,132840,2,Williams,NESCAC,RIGHT,RIGHT,OF,Sr.,6-1,"Massapequa, NY"
Owen McHugh,132841,12,Williams,NESCAC,RIGHT,RIGHT,P,Jr.,6-0,"Milton, MA"
Dave Mosrie,132842,16,Williams,NESCAC,RIGHT,RIGHT,INF,Sr.,5-8,"Weddington, NC"
Mason Nagle,132843,34,Williams,NESCAC,RIGHT,RIGHT,C,Fr.,5-7,"Oradell, NJ"
Ryan Nakajima,132844,5,Williams,NESCAC,LEFT,RIGHT,OF,Jr.,5-10,"Bothell, WA"
Daniel Okstein,132845,25,Williams,NESCAC,RIGHT,RIGHT,P,Sr.,6-1,"Sharon, MA"
Sasha Palma,132846,3,Williams,NESCAC,RIGHT,RIGHT,INF,Sr.,5-6,"Williamstown, NJ"
Oliver Rey,132847,21,Williams,NESCAC,RIGHT,RIGHT,INF,So.,6-1,"Newport, RI"
Andrew Rocha,132848,1,Williams,NESCAC,RIGHT,RIGHT,INF,Jr.,5-9,"Hillsborough, CA"
Peyton Rose,132849,22,Williams,NESCAC,RIGHT,RIGHT,P,Sr.,6-5,"Needham, MA"
Nate Rosner,132850,6,Williams,NESCAC,RIGHT,LEFT,P,So.,5-11,"Bethesda, MD"
Will Scott,132851,13,Williams,NESCAC,RIGHT,RIGHT,1B,Jr.,6-4,"Redding, CT"
Ben Swank,132852,10,Williams,NESCAC,RIGHT,RIGHT,INF,So.,5-9,"Jupiter, FL"
Daniel Vasquez,132853,36,Williams,NESCAC,RIGHT,RIGHT,P,Fr.,5-11,"Medfield, MA"
JH Vaughan,132854,14,Williams,NESCAC,RIGHT,RIGHT,P,Sr.,5-10,"Indian Trail, NC"
Aidan Baccus,132855,18,Wis.-La Crosse,WIAC,,,p,Sr.,-,
Grant Beth,132856,34,Wis.-La Crosse,WIAC,,,OF,Sr.,-,
Brady Burrill,132857,15,Wis.-La Crosse,WIAC,,,c,Jr.,-,
A. Campbell,132858,4,Wis.-La Crosse,WIAC,,,c,Fr.,-,
Jake Clauson,132859,12,Wis.-La Crosse,WIAC,,,p,Sr.,-,
A.J. Curtis,132860,12,Wis.-La Crosse,WIAC,,,P,So.,-,
Owen Deprez,132861,30,Wis.-La Crosse,WIAC,,,p,Sr.,-,
K. Fleischman,132862,11,Wis.-La Crosse,WIAC,,,1B,So.,-,
Calvin Hargrove,132863,36,Wis.-La Crosse,WIAC,,,ph,Jr.,-,
T. Hewitt,132864,25,Wis.-La Crosse,WIAC,,,p,Fr.,-,
Daelen Johnson,132865,17,Wis.-La Crosse,WIAC,,,p,Jr.,-,
UNKNOWN Lash,132866,7,Wis.-La Crosse,WIAC,,,p,So.,-,
Mark Manders,132867,18,Wis.-La Crosse,WIAC,,,pr/2b,Jr.,-,
Tanner Marsh,132868,9,Wis.-La Crosse,WIAC,,,OF,Sr.,-,
Nate Melnikoff,132869,15,Wis.-La Crosse,WIAC,,,p,Sr.,-,
UNKNOWN Olla,132870,44,Wis.-La Crosse,WIAC,,,p,So.,-,
Chayce Osterhaus,132871,24,Wis.-La Crosse,WIAC,,,p,Jr.,-,
B. Ott,132872,32,Wis.-La Crosse,WIAC,,,p,Fr.,-,
Andrew Palm,132873,27,Wis.-La Crosse,WIAC,,,c,Fr.,-,
J. Peterson,132874,14,Wis.-La Crosse,WIAC,,,rf,Fr.,-,
Emiliano Ramos,132875,29,Wis.-La Crosse,WIAC,,,INF,Sr.,-,
Daniel Reischl,132876,21,Wis.-La Crosse,WIAC,,,P,Sr.,-,
C. Rowan,132877,9,Wis.-La Crosse,WIAC,,,ss,Fr.,-,
A. Schwechle,132878,29,Wis.-La Crosse,WIAC,,,p,Fr.,-,
Lincoln Smith,132879,38,Wis.-La Crosse,WIAC,,,p,Fr.,-,
Henry Stried,132880,25,Wis.-La Crosse,WIAC,,,p,Jr.,-,
Carter Tower,132881,24,Wis.-La Crosse,WIAC,,,p,Sr.,-,
Chris VandenHeuvel,132882,29,Wis.-La Crosse,WIAC,,,OF,Sr.,-,
Sam Viniard,132883,45,Wis.-La Crosse,WIAC,,,ph,Jr.,-,
Trace Vrbancic,132884,34,Wis.-La Crosse,WIAC,,,p,Jr.,-,
Luke Walton,132885,21,Wis.-La Crosse,WIAC,,,ph/3b,Jr.,-,
Eli Zollar,132886,44,Wis.-La Crosse,WIAC,,,ph/1b,Jr.,-,
Baris Brua,132887,55,Wis.-Oshkosh,WIAC,LEFT,LEFT,P,Fr.,6-4,"Mundelein, IL"
Ben Buehring,132888,46,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Jr.,6-2,"Oshkosh, WI"
Danny Connelly,132889,14,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,C,So.,6-1,"Mundelein, IL"
Aaron Davis,132890,2,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,INF,So.,5-10,"Darien, IL"
Levi Fey,132891,12,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Fr.,6-3,"Verona, WI"
Connor Ford,132892,0,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,C,So.,5-10,"Hartford, WI"
Mateo Gamboa,132893,38,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,OF,So.,6-2,"Midlothian, IL"
Brett Gaynor,132894,29,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Jr.,6-1,"Long Grove, IL"
Nick Gilroy,132895,1,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Fr.,5-10,"Oconomowoc, WI"
Benje Hencke,132896,21,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Jr.,6-1,"De Pere, WI"
Owen Housinger,132897,10,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,INF,Sr.,5-10,"Hawthorn Woods, IL"
Michael Hughes,132898,32,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Sr.,6-2,"Lockport, IL"
Josh Jansen,132899,24,Wis.-Oshkosh,WIAC,LEFT,LEFT,P,Sr.,6-3,"Deforest, WI"
Kael Johns,132900,33,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,So.,6-2,"Waukesha, WI"
Colton Kachinsky,132901,27,Wis.-Oshkosh,WIAC,LEFT,LEFT,P,Jr.,6-2,"New Lenox, IL"
Cash Kaczmarek,132902,16,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,OF,Fr.,6-2,"Barrington, IL"
Cooper Kamlay,132903,19,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,So.,5-9,"Franklin, WI"
Hoyt Keller,132904,50,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Sr.,6-2,"Wautoma, WI"
Cullen Kirchberg,132905,23,Wis.-Oshkosh,WIAC,RIGHT,LEFT,INF,Fr.,5-11,"Deforest, WI"
Brenden Max,132906,17,Wis.-Oshkosh,WIAC,LEFT,LEFT,OF,Sr.,5-11,"Libertyville, IL"
Jack McKellips,132907,5,Wis.-Oshkosh,WIAC,LEFT,RIGHT,OF,Sr.,5-10,"Oshkosh, WI"
Jack McNamara,132908,9,Wis.-Oshkosh,WIAC,LEFT,RIGHT,C,Sr.,5-10,"La Grange, IL"
Carter Monroe,132909,7,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,INF,Fr.,5-10,"Palatine, IL"
Trevor Morris,132910,8,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,INF,Sr.,5-9,"Naperville, IL"
Evan Olson,132911,15,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,C,Jr.,5-10,"Appleton, WI"
Gavin Persson,132912,20,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,C,Fr.,6-0,"Plainfield, IL"
Weston Poth,132913,44,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Fr.,6-0,"Lomira, WI"
Joe Richardson,132914,28,Wis.-Oshkosh,WIAC,LEFT,LEFT,P,Jr.,6-2,"Lake Forest, IL"
Ryan Richter,132915,56,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,So.,6-5,"Waukesha, WI"
Tyler Schader,132916,26,Wis.-Oshkosh,WIAC,LEFT,LEFT,OF,Fr.,5-11,"Palatine, IL"
Logan Schill,132917,6,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,OF,Jr.,5-11,"Pewaukee, WI"
Braydon Skenandore,132918,30,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,INF,Jr.,6-2,"De Pere, WI"
Parker Thompson,132919,35,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Sr.,6-3,"Wauwatosa, WI"
Ben Volpe,132920,11,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,OF,So.,6-0,"Whitefish Bay, WI"
Connor Walters,132921,41,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Sr.,6-3,"Libertyville, IL"
David Wick,132922,18,Wis.-Oshkosh,WIAC,LEFT,RIGHT,INF,So.,5-11,"Plainfield, IL"
Ethan Wick,132923,40,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Fr.,6-2,"Appleton, WI"
Tommy Wincek,132924,45,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,P,Fr.,6-2,"Middleton, WI"
Tim Witchger,132925,22,Wis.-Oshkosh,WIAC,RIGHT,RIGHT,C,So.,6-0,"Chicago, IL"
Trinity Beland,132926,6,Wis.-Platteville,WIAC,RIGHT,RIGHT,C,So.,5-9,"Modesto, CA"
Owen Bernhardt,132927,8,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,So.,6-3,"Cambridge, WI"
Jackson Beschta,132928,42,Wis.-Platteville,WIAC,LEFT,LEFT,P,Fr.,6-4,"Greenville, WI"
Ethan Birkel,132929,36,Wis.-Platteville,WIAC,LEFT,RIGHT,C,Fr.,5-11,"Rubicon, WI"
Isaac Bixby,132930,26,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Sr.,5-10,"Gleason, WI"
Tarron Bockhop,132931,7,Wis.-Platteville,WIAC,RIGHT,RIGHT,INF,Jr.,5-8,"Dodgeville, WI"
Evan Bohr,132932,3,Wis.-Platteville,WIAC,RIGHT,RIGHT,INF,Jr.,5-10,"Yorkville, IL"
Sam Callow,132933,44,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,5-10,"Kenosha, WI"
Matthew Carlson,132934,17,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Jr.,6-6,"Geneva, IL"
Kane Chappell,132935,24,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,5-10,"Pardeeville, WI"
Josh Dahlgren,132936,14,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Jr.,6-2,"Sussex, WI"
Bradyn Delaney,132937,10,Wis.-Platteville,WIAC,RIGHT,RIGHT,C,Jr.,6-0,"Peosta, IA"
Kaleb Elwood,132938,20,Wis.-Platteville,WIAC,RIGHT,RIGHT,C,Fr.,5-9,"Sugar Grove, IL"
Wyatt Fischer,132939,32,Wis.-Platteville,WIAC,LEFT,LEFT,P,Jr.,6-2,"De Pere, WI"
Jacob Gervase,132940,16,Wis.-Platteville,WIAC,RIGHT,RIGHT,INF,So.,6-0,"Naperville, IL"
Kentin Grantz,132941,39,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,5-10,"Henderson, NV"
Connor Gresens,132942,12,Wis.-Platteville,WIAC,RIGHT,RIGHT,C,Jr.,5-11,"Rochester, NY"
Jacek Gutowski,132943,30,Wis.-Platteville,WIAC,LEFT,LEFT,P,So.,6-2,"Milwaukee, WI"
Cooper Hathaway,132944,28,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,6-1,"Freeport, IL"
Danny Hodel,132945,2,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,So.,5-11,"Manhattan, IL"
William Hough,132946,11,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Jr.,6-1,"Crystal Lake, IL"
David Juarez,132947,45,Wis.-Platteville,WIAC,RIGHT,RIGHT,C,Fr.,5-7,"Lake In The Hills, IL"
Carver Kamentz,132948,27,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,5-7,"East Dubuque, IL"
Aidan Kelsick,132949,31,Wis.-Platteville,WIAC,LEFT,LEFT,P,Jr.,6-2,"Elkhart, IA"
Brayden Knoll,132950,1,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,Fr.,5-10,"Byron, IL"
Logan Kottmeyer,132951,15,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,So.,6-0,"North Aurora, IL"
Xander Martinez,132952,22,Wis.-Platteville,WIAC,RIGHT,RIGHT,INF,So.,5-9,"Modesto, IL"
Anthony Massa,132953,18,Wis.-Platteville,WIAC,RIGHT,RIGHT,INF,So.,6-2,"Manhattan, IL"
Jacob Melendrez,132954,19,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Sr.,5-8,"Little Chute, WI"
Mason Molitor,132955,41,Wis.-Platteville,WIAC,LEFT,RIGHT,INF,Sr.,6-6,"Oak Grove, MN"
Sawyer Molitor,132956,35,Wis.-Platteville,WIAC,LEFT,LEFT,P,Sr.,6-0,"Reedsburg, WI"
Caleb Moss,132957,21,Wis.-Platteville,WIAC,LEFT,LEFT,P,Fr.,5-10,"Eau Claire, WI"
Pierce Nelson,132958,13,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Sr.,6-4,"La Crosse, WI"
Caleb Parker,132959,9,Wis.-Platteville,WIAC,LEFT,RIGHT,INF,Sr.,5-10,"Minooka, IL"
Brody Parkinson,132960,33,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,So.,6-7,"Greenfield, WI"
Dylan Rippentrop,132961,4,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,Jr.,5-9,"Sioux Falls, SD"
Spencer Robertson,132962,5,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,Sr.,6-1,"Waukesha, WI"
Aaron Schaapveld,132963,29,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,6-6,"Bettendorf, IA"
Brayden Schimmel,132964,38,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,So.,6-0,"Hales Corners, WI"
Jordan Stanton,132965,23,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Sr.,5-11,"Hazel Green, WI"
Tyler Steinke,132966,25,Wis.-Platteville,WIAC,RIGHT,RIGHT,OF,Fr.,5-10,"Helenville, WI"
Gavin Trevillian,132967,40,Wis.-Platteville,WIAC,RIGHT,RIGHT,P,Fr.,5-10,"Iron Mountain, MI"
Daniel Ureno,132968,43,Wis.-Platteville,WIAC,RIGHT,RIGHT,UT,Fr.,5-7,"Dublin, CA"
Cade Voelker,132969,34,Wis.-Platteville,WIAC,LEFT,LEFT,P,Fr.,6-0,"Kiel, WI"
J. Adams,132970,4,Wis.-Stevens Point,WIAC,,,cf,So.,-,
Nick Argersinger,132971,24,Wis.-Stevens Point,WIAC,,,rf,So.,-,
I. Beeler,132972,37,Wis.-Stevens Point,WIAC,,,ph,Fr.,-,
Cooper Brown,132973,35,Wis.-Stevens Point,WIAC,,,INF,Jr.,-,
Andrew Chapman,132974,7,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,OF,Jr.,5-11,"Waterford, WI"
Tommy Drohner,132975,9,Wis.-Stevens Point,WIAC,LEFT,RIGHT,OF,Sr.,-,
Bryce Ehr,132976,38,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Sr.,-,
Mason Fink,132977,6,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,C,Sr.,-,
Garrett Foth,132978,39,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,C,Sr.,-,
J. Gilroy,132979,27,Wis.-Stevens Point,WIAC,,,ph,So.,-,
JT Hockers,132980,39,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Jr.,6-5,"Middleton, WI"
B. Huber,132981,7,Wis.-Stevens Point,WIAC,,,lf,Fr.,-,
Jeremiah Jahnke,132982,21,Wis.-Stevens Point,WIAC,,,p,Jr.,-,
D. Kloster,132983,36,Wis.-Stevens Point,WIAC,,,p,Fr.,-,
Troy Knutson,132984,45,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Sr.,-,
K Krueger,132985,31,Wis.-Stevens Point,WIAC,,,p,Jr.,-,
Drew Mistele,132986,35,Wis.-Stevens Point,WIAC,,,ph,Jr.,-,
Asher Nicholson,132987,41,Wis.-Stevens Point,WIAC,,,ph,So.,-,
B. Nystrom,132988,10,Wis.-Stevens Point,WIAC,,,p,So.,-,
Riley O'Connell,132989,13,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Sr.,-,
Kamden Oliver,132990,34,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,INF,Sr.,-,
C. Olson,132991,17,Wis.-Stevens Point,WIAC,,,2b,So.,-,
L Parlier,132992,40,Wis.-Stevens Point,WIAC,,,ph,Jr.,-,
I. Pisctitel,132993,5,Wis.-Stevens Point,WIAC,,,p,Fr.,-,
Tino Ramirez,132994,1,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,INF,Sr.,-,
Joe Schneider,132995,26,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Sr.,-,
K. Schultz,132996,20,Wis.-Stevens Point,WIAC,,,p,So.,-,
Tyler Soule,132997,15,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,INF,Sr.,-,
Josh Steger,132998,17,Wis.-Stevens Point,WIAC,,,UT,So.,-,
Kaeden Wagenaar,132999,16,Wis.-Stevens Point,WIAC,,,p,So.,-,
UNKNOWN Wintheiser,133000,18,Wis.-Stevens Point,WIAC,,,p,So.,-,
Easton Zemple,133001,28,Wis.-Stevens Point,WIAC,RIGHT,RIGHT,P,Jr.,6-6,
Max Bauer,133002,50,Wis.-Stout,WIAC,RIGHT,RIGHT,P,So.,6-1,"Fond Du Lac, WI"
Wes Cain,133003,12,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Fr.,5-11,"Prior Lake, MN"
Derek Carlson,133004,9,Wis.-Stout,WIAC,RIGHT,RIGHT,C,So.,5-10,"Downers Grove, IL"
Luke Carrier,133005,20,Wis.-Stout,WIAC,LEFT,LEFT,P,So.,5-9,"Chatfield, MN"
Collin Crane,133006,34,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Fr.,6-4,"Bloomer, WI"
Brady Eckert,133007,29,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Fr.,6-0,"Mukwonago, WI"
AJ Folk,133008,32,Wis.-Stout,WIAC,LEFT,LEFT,P,Jr.,6-1,"Durango, CO"
Sam Graunke,133009,30,Wis.-Stout,WIAC,RIGHT,RIGHT,3B,Fr.,6-0,"Mantorville, MN"
Jackson Gugel,133010,18,Wis.-Stout,WIAC,RIGHT,RIGHT,P,So.,5-10,"Chippewa Falls, WI"
Nick Haran,133011,28,Wis.-Stout,WIAC,RIGHT,RIGHT,OF,Jr.,6-1,"Chicago, IL"
Cole Harris,133012,35,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Fr.,6-0,"Frankfort, IL"
Tony Iaffaldano,133013,52,Wis.-Stout,WIAC,RIGHT,RIGHT,INF,Fr.,5-8,"Wausau, WI"
Grant Ingram,133014,31,Wis.-Stout,WIAC,RIGHT,RIGHT,UT,Sr.,6-2,"Gurley, AL"
AJ Kargel,133015,7,Wis.-Stout,WIAC,LEFT,LEFT,OF,Jr.,6-0,"Otsego, MN"
Cage Kavanagh,133016,10,Wis.-Stout,WIAC,RIGHT,RIGHT,INF,Jr.,5-8,"Appleton, WI"
Ryan Kelly,133017,25,Wis.-Stout,WIAC,RIGHT,RIGHT,C,Jr.,5-11,"Huntley, IL"
Lawson Leblanc,133018,16,Wis.-Stout,WIAC,LEFT,LEFT,P,So.,5-9,"Georgetown, Canada"
Lucas Lendosky,133019,24,Wis.-Stout,WIAC,LEFT,LEFT,P,So.,6-3,"Fennimore, WI"
Connor Marino,133020,23,Wis.-Stout,WIAC,RIGHT,RIGHT,INF,Fr.,6-2,"Lemont, IL"
Logan McManus,133021,36,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Jr.,5-11,"West Bend, WI"
Austin Miller,133022,13,Wis.-Stout,WIAC,RIGHT,RIGHT,INF,Sr.,5-11,"Mcfarland, WI"
Dylan Moyers,133023,2,Wis.-Stout,WIAC,RIGHT,RIGHT,OF,Fr.,5-9,"Prior Lake, MN"
Wilson Nordquist,133024,51,Wis.-Stout,WIAC,RIGHT,RIGHT,C,Fr.,5-11,"Zumbrota, MN"
Connor Peck,133025,1,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Fr.,5-9,"Pleasant Prairie, WI"
Mike Pustelnik,133026,26,Wis.-Stout,WIAC,LEFT,LEFT,1B,Sr.,6-3,"Tinley Park, IL"
Brandt Puzak,133027,14,Wis.-Stout,WIAC,LEFT,RIGHT,2B,Sr.,5-9,"Excelsior, MN"
Jack Redwine,133028,17,Wis.-Stout,WIAC,LEFT,LEFT,OF,Sr.,6-0,"Eau Claire, WI"
Carter Stelter,133029,3,Wis.-Stout,WIAC,RIGHT,RIGHT,3B,So.,6-0,"Chippewa Falls, WI"
Bryan Tunison,133030,27,Wis.-Stout,WIAC,RIGHT,RIGHT,C,Fr.,6-1,"Berwyn, IL"
Cal Ulven,133031,8,Wis.-Stout,WIAC,RIGHT,RIGHT,1B,So.,6-2,"Monticello, MN"
Nick Van Beek,133032,15,Wis.-Stout,WIAC,LEFT,RIGHT,P,Jr.,6-0,"Mayville, WI"
Easton Vertz,133033,33,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Sr.,6-0,"Pulaski, WI"
Nick Webster,133034,19,Wis.-Stout,WIAC,RIGHT,RIGHT,INF,Jr.,5-9,"Siren, WI"
Nathan Weckop,133035,22,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Sr.,6-2,"Hampton, MN"
Lane Whiting,133036,6,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Jr.,6-1,"Oconto, WI"
Treysen Witt,133037,11,Wis.-Stout,WIAC,RIGHT,RIGHT,P,Jr.,5-9,"Menomonie, WI"
Kevin Zanin,133038,4,Wis.-Stout,WIAC,LEFT,RIGHT,OF,So.,5-8,"Chicago, IL"
Antonio Zeer,133039,21,Wis.-Stout,WIAC,LEFT,LEFT,P,Jr.,6-4,"W Bloomfield, MI"
Adam  Johaneson,133040,9,Wis.-Superior,UMAC,RIGHT,RIGHT,C,Sr.,5-8,"Princeton, MN"
Wylee Arro,133041,7,Wis.-Superior,UMAC,RIGHT,RIGHT,OF,Jr.,6-0,"Hermantown, MN"
Gio Basile,133042,17,Wis.-Superior,UMAC,RIGHT,RIGHT,P,Jr.,5-11,"Eau Claire, WI"
Evan Cichanofsky,133043,2,Wis.-Superior,UMAC,LEFT,LEFT,UT,Fr.,5-6,
Kaden Corlett,133044,39,Wis.-Superior,UMAC,RIGHT,RIGHT,P,So.,-,
Will Czech,133045,6,Wis.-Superior,UMAC,RIGHT,RIGHT,INF,Jr.,5-9,"Anoka, MN"
Noah Dagostino,133046,10,Wis.-Superior,UMAC,RIGHT,RIGHT,INF,Sr.,5-11,"Andover, MN"
Ryker Ebert,133047,37,Wis.-Superior,UMAC,LEFT,LEFT,P,Fr.,6-1,
Owen Farrington,133048,22,Wis.-Superior,UMAC,RIGHT,RIGHT,UT,Fr.,6-3,
Tyler Fitzgerald,133049,41,Wis.-Superior,UMAC,RIGHT,RIGHT,C,Fr.,5-11,
Zach Flater,133050,16,Wis.-Superior,UMAC,RIGHT,RIGHT,INF,Fr.,6-0,
Reese Fleig,133051,36,Wis.-Superior,UMAC,RIGHT,RIGHT,P,Sr.,6-0,"Washburn, WI"
Devin Frydenlund,133052,18,Wis.-Superior,UMAC,RIGHT,RIGHT,INF,So.,-,
Cody Glasheen,133053,3,Wis.-Superior,UMAC,RIGHT,RIGHT,OF,Fr.,5-10,
Brayden Haag,133054,29,Wis.-Superior,UMAC,RIGHT,RIGHT,UT,Fr.,6-3,
Declan Higgins,133055,27,Wis.-Superior,UMAC,LEFT,LEFT,P,Sr.,6-1,"Minneapolis, MN"
Adam Jensen,133056,35,Wis.-Superior,UMAC,RIGHT,RIGHT,P,Sr.,6-1,"Brainerd, MN"
Isaac Johnson,133057,5,Wis.-Superior,UMAC,RIGHT,RIGHT,OF,Fr.,6-3,
Jackson Karn,133058,31,Wis.-Superior,UMAC,RIGHT,RIGHT,UT,Fr.,6-3,
Miles Kay,133059,30,Wis.-Superior,UMAC,RIGHT,RIGHT,P,Jr.,5-10,"Albertville, MN"
Bennett Keller,133060,40,Wis.-Superior,UMAC,LEFT,RIGHT,C,So.,5-11,"Evansville, IL"
Paddy Kelly,133061,11,Wis.-Superior,UMAC,LEFT,RIGHT,INF,So.,5-11,"Andover, MN"
Wylee Lottman,133062,4,Wis.-Superior,UMAC,RIGHT,RIGHT,UT,Sr.,5-10,"Kerkhoven, MN"
Payton Mangold,133063,38,Wis.-Superior,UMAC,LEFT,LEFT,P,Sr.,6-0,"Ottawa, IL"
Mason McKellar,133064,21,Wis.-Superior,UMAC,RIGHT,RIGHT,UT,Sr.,6-3,"Nashotah, WI"
